timepoint,bw_date,ID,species,colony,coralID,colony_ID,home_reef,transplant_reef,collection_site,transplant_site,transplant,pale or bleached,partial mortality,mortality,months,mort,tod
T3,5/31/19,PSTR 2 18,PSTR,P2,18,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 18,PSTR,P2,18,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 19,PSTR,P2,19,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,0,0,60
T1,3/6/18,PSTR 2 19,PSTR,P2,19,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 19,PSTR,P2,19,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 19,PSTR,P2,19,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 19,PSTR,P2,19,OSP2,OS,OS,Silk Cayes,Silk Cayes,OS Native,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 20,PSTR,P2,20,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 20,PSTR,P2,20,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 20,PSTR,P2,20,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 2 20,PSTR,P2,20,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,Y,alive,17,0,60
T4,NA,PSTR 2 20,PSTR,P2,20,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,Y,dead,60,1,60
T0,12/12/17,PSTR 2 21,PSTR,P2,21,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 21,PSTR,P2,21,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 21,PSTR,P2,21,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,9,0,60
T3,5/29/19,PSTR 2 21,PSTR,P2,21,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 2 21,PSTR,P2,21,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,17,0,60
T4,NA,PSTR 2 22,PSTR,P2,22,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,dead,60,1,60
T0,12/12/17,PSTR 2 23,PSTR,P2,23,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 23,PSTR,P2,23,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 23,PSTR,P2,23,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 2 23,PSTR,P2,23,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,17,0,60
T4,NA,PSTR 2 23,PSTR,P2,23,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,dead,60,1,60
T0,12/12/17,PSTR 2 24,PSTR,P2,24,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 24,PSTR,P2,24,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 24,PSTR,P2,24,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 2 24,PSTR,P2,24,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,17,0,60
T4,NA,PSTR 2 24,PSTR,P2,24,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,dead,60,1,60
T0,12/12/17,PSTR 2 25,PSTR,P2,25,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,0,0,60
T1,3/9/18,PSTR 2 25,PSTR,P2,25,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,N,N,alive,3,0,60
T2,9/25/18,PSTR 2 25,PSTR,P2,25,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,9,0,60
T3,5/29/19,PSTR 2 25,PSTR,P2,25,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,alive,17,0,60
T4,NA,PSTR 2 25,PSTR,P2,25,OSP2,OS,NS,Silk Cayes,False Caye,NS Transplant,Y,N,dead,60,1,60
T0,12/11/17,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 3,PSTR,P2,3,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 4,PSTR,P2,4,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 2 4,PSTR,P2,4,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 2 4,PSTR,P2,4,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 2 4,PSTR,P2,4,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 4,PSTR,P2,4,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 5,PSTR,P2,5,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,NA
T1,3/8/18,PSTR 2 5,PSTR,P2,5,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,NA
T2,9/24/18,PSTR 2 5,PSTR,P2,5,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,NA
T3,5/30/19,PSTR 2 5,PSTR,P2,5,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,NA
T4,8/8/23,PSTR 2 5,PSTR,P2,5,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,60,0,NA
T0,12/11/17,PSTR 2 6,PSTR,P2,6,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,0,0,60
T1,3/8/18,PSTR 2 6,PSTR,P2,6,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,3,0,60
T2,9/24/18,PSTR 2 6,PSTR,P2,6,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,9,0,60
T3,5/30/19,PSTR 2 6,PSTR,P2,6,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,alive,17,0,60
T4,NA,PSTR 2 6,PSTR,P2,6,NSP2,NS,NS,False Caye,False Caye,NS Native,N,N,dead,60,1,60
T0,12/11/17,PSTR 2 7,PSTR,P2,7,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,0,0,60
T1,3/7/18,PSTR 2 7,PSTR,P2,7,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,3,0,60
T2,9/26/18,PSTR 2 7,PSTR,P2,7,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,9,0,60
T3,5/31/19,PSTR 2 7,PSTR,P2,7,NSP2,NS,OS,False Caye,Silk Cayes,OS Transplant,N,N,alive,17,0,60
