timepoint,bw_date,ID,species,collection_site,transplant_site,treatment,mortality,bw,bw_sd,bw_se
T1,3/6/2018,SSID 1 17,SSID,OS,OS,OS Native,alive,16.67002627,0.005773503,0.004082483
T1,3/6/2018,SSID 1 18,SSID,OS,OS,OS Native,alive,24.11727671,0.011547005,0.008164966
T1,3/6/2018,SSID 1 19,SSID,OS,OS,OS Native,alive,18.23315236,0.011547005,0.008164966
T1,3/9/2018,SSID 1 20,SSID,OS,NS,NS Transplant,alive,12.80333333,0.005773503,0.004082483
T1,3/9/2018,SSID 1 21,SSID,OS,NS,NS Transplant,alive,26.88666667,0.015275252,0.010801234
T1,3/9/2018,SSID 1 22,SSID,OS,NS,NS Transplant,alive,22.52666667,0.005773503,0.004082483
T1,3/9/2018,SSID 1 23,SSID,OS,NS,NS Transplant,alive,14.93666667,0.005773503,0.004082483
T1,3/9/2018,SSID 1 24,SSID,OS,NS,NS Transplant,alive,19.79,0,0
T1,3/9/2018,SSID 1 25,SSID,OS,NS,NS Transplant,alive,17.80333333,0.005773503,0.004082483
T1,3/8/2018,SSID 2 1,SSID,NS,NS,NS Native,alive,30.25677788,0,0
T1,3/8/2018,SSID 2 2,SSID,NS,NS,NS Native,alive,23.61179982,0.005773503,0.004082483
T1,3/8/2018,SSID 2 3,SSID,NS,NS,NS Native,alive,25.49848112,0.005773503,0.004082483
T1,3/8/2018,SSID 2 4,SSID,NS,NS,NS Native,alive,20.31093942,0.005773503,0.004082483
T1,3/8/2018,SSID 2 5,SSID,NS,NS,NS Native,alive,21.33580334,0.005773503,0.004082483
T1,3/8/2018,SSID 2 6,SSID,NS,NS,NS Native,alive,28.85923617,0,0
T1,3/7/2018,SSID 2 7,SSID,NS,OS,OS Transplant,alive,18.5248291,0,0
T1,3/7/2018,SSID 2 8,SSID,NS,OS,OS Transplant,alive,32.57872042,0.005773503,0.004082483
T1,3/7/2018,SSID 2 9,SSID,NS,OS,OS Transplant,alive,29.27368098,0.005773503,0.004082483
T1,3/7/2018,SSID 2 10,SSID,NS,OS,OS Transplant,alive,24.29120947,0.005773503,0.004082483
T1,3/7/2018,SSID 2 11,SSID,NS,OS,OS Transplant,alive,32.41595968,0,0
T1,3/7/2018,SSID 2 12,SSID,NS,OS,OS Transplant,alive,22.97583699,0.005773503,0.004082483
T1,3/6/2018,SSID 2 14,SSID,OS,OS,OS Native,alive,27.1671979,0.005773503,0.004082483
T1,3/6/2018,SSID 2 15,SSID,OS,OS,OS Native,alive,26.71253065,0,0
T1,3/6/2018,SSID 2 16,SSID,OS,OS,OS Native,alive,20.08500876,0.005773503,0.004082483
T1,3/6/2018,SSID 2 17,SSID,OS,OS,OS Native,alive,22.8760683,0.005773503,0.004082483
T1,3/6/2018,SSID 2 18,SSID,OS,OS,OS Native,alive,9.116576182,0.005773503,0.004082483
T1,3/6/2018,SSID 2 19,SSID,OS,OS,OS Native,alive,51.23801226,0.005773503,0.004082483
T1,3/9/2018,SSID 2 20,SSID,OS,NS,NS Transplant,alive,35.7722807,0.005773503,0.004082483
T1,3/9/2018,SSID 2 21,SSID,OS,NS,NS Transplant,alive,14.96385088,0.005773503,0.004082483
T1,3/9/2018,SSID 2 22,SSID,OS,NS,NS Transplant,alive,32.14185965,0.015275252,0.010801234
T1,3/9/2018,SSID 2 23,SSID,OS,NS,NS Transplant,alive,14.24574561,0.005773503,0.004082483
T1,3/9/2018,SSID 2 24,SSID,OS,NS,NS Transplant,alive,19.96399123,0.005773503,0.004082483
T1,3/9/2018,SSID 2 25,SSID,OS,NS,NS Transplant,alive,23.31847368,0,0
T1,3/8/2018,SSID 3 1,SSID,NS,NS,NS Native,alive,32.45436842,0,0
T1,3/8/2018,SSID 3 2,SSID,NS,NS,NS Native,alive,25.40629825,0.011547005,0.008164966
T1,3/8/2018,SSID 3 3,SSID,NS,NS,NS Native,alive,39.60217544,0.005773503,0.003333333
